"","Rating","Review"
"53","2","These were okay for a few uses. Do not leave them submerged in water they will crumble. I would not buy again."
"54","1","This stained our new grout and in general it<U+2019>s not as easy to remove as I would have liked. I had to throw them away after one use."
"55","5","My daughter loves coloring in the tub and these are perfect, although the crayon falls out of the plastic holder too easily!!"
"56","1","These crayons are a disappointment. They say that they are easy to clean off, but what they mean to say is that the pigment rinses away very quickly, even in the crayon itself. What was once a beautiful purple, is now a lavendaf. What was once a vibrant orange is now a muted sherbert. The bold blue is now a sky blue. Yellow is pretty much non existent."
"57","1","These are only half crayons -the other half is a case. 3 came broken ..way to make a 2 year old sad"
"58","5","We have always had good luck with the Alex tub crayon.  This is my 4th set.  My daughter loves them.  They do not stain my tub if I wipe it down right after bath time with a sponge.  I have tried the crayola once before and those did stain my tub.  The colors in this set are not as vibrant as the crayola ones though and the colors are limited to 6.  Well worth the money for any tot."
"59","1","These are terrible. The crayon part doesn't stay in the holders at all, they are very slippery and when they try to write on the tub they crumble apart in pieces. Worthless don't waste your money."
"60","1","Really bummed with how awful these were. One time use and they fall right out of the pen holders."
"61","3","Not so impressed with these crayons. I had a set of similar ones which my daughter loved and used till the very end. Bought these and they don't color as well and they leak their color when stored"
"62","3","To make the colors pop up is very hard.. they last a long time but the adjusters are a pain in the but."
"63","5","My son is OBSESSED with these!! (21 months old) will definitly be ordering more.. easy clean up and hours of entertainment !"
"64","2","These crayons fell apart in the tub once they hit the water. I would not recommend these."
"65","2","These don't stay in the holders, they melt in the water, overall I wouldn't buy again"
"66","1","The first time use of these was great. But the second time was a fail. The color seems to have all drained out of the crayons after the first use. I won't purchase these again. A one time use for the price, it's simply not worth it."
"67","5","My granddaughter is going to love writing on the bathroom walls with these."
"68","1","These are the worst!! They don<U+2019>t write worth crap and they fall out of their holders. You would be better off taking your $5 and throwing it in the trash because that<U+2019>s basically what you<U+2019>ll be doing with these crayons."
"69","4","We LOVE this product except the yellow is not dark enough to color with. I would buy again. Have recommended to many people."
"70","2","These were so gross and left crumbs ( for lack of a better word) all over bathtub"
"71","1","most of the color drains from the crayon when wet, which stains the bath water. very hard to use when damp (aka defeats the purpose of bathtub crayons). plastic casing does not hold crayon and they slip out frequently with use. would not purchase again."
"72","3","These are kind of crappy. They don't really draw on the tub and I'm not going to let my kid draw on the tile and potentially stain the grout. And the crayon parts are always falling out of the holders. Should've gone for the better brand."
"73","1","Poor quality, no color, kid was frustrated. Munchkin are FAR better."
"74","1","We used these twice. By then they had dissolved or fallen apart. They came out of the holder easily and left our hands green."
"75","5","These are solid for any kid to play with and be occupied with bath time"
"76","2","The crayons kept falling out of the plastic holder. Couldn<U+2019>t get them to stay in. Easy to clean up tho"
"77","1","The kids have a lot of fun with these. But they stain the grout and tub if it has matte finish."
"78","3","The crayons keep falling off the plastic holders. They do work on bathtub and tiles but they loose their external colour when in contact with water dying water and staining the bathtub. But they still keep their drawing color and its easy to clean."
"79","3","The only problem is that the plastic piece easily detaches from the colored wax."
"80","5","This is our third time buying these. Makes a great stocking stuffer. Can be a little hard to clean off if the kid draws firmly."
"81","4","These are a little tough to wash off compared to other brands i've used in past."
"82","2","We only used this three times before it was broken to bits."
"83","5","They bleed when wet, but the marks come off the wall easily and let my neice play in the tub"
"84","3","They work. The crayon part fell out of the holder on some. And the color wasn't super strong in some colors. You get what you pay for! For a bath toy though, they were fine."
"85","3","The crayons fall out of the casing very easily and the colors, once wet , get all over the child's hands and body without the casing. Good idea just not thought through very well. Writes on wall and tub  easily and colorful."
"86","1","These bath crayons are terrible, none of them are great but these are by far the worst. Leak color and lose color in the tub. The crayons ones fall it all the time but the crayon never loses its color or effectiveness. These after one or two baths are essentially a worthless mess"
"87","1","Hard to get off bathtub walls. And certain colors stain walls. Would not order again."
"88","2","The crayons don't stay in the holders. Poorly made."
"89","1","Awful. They just fall out and the whole thing is like food coloring. Stains your hands."
"90","2","Our first crayon (blue) got completely jammed and is no longer usable/adjustable. In addition, the blue crayon dyes my daughter<U+2019>s skin. Haven<U+2019>t tried the other colors yet, but they seem hard to adjust as well. Bath crayons we<U+2019>ve gotten in the past have been easier to adjust and less likely to dye skin."
"91","1","We got about two trips to the tub before these simply dissolved into little flecks that were hard to wash out of the tub."
"92","1","Didn<U+2019>t love this brand. They didn<U+2019>t hold up like other brands we<U+2019>ve had before and I ended up throwing them away about a week after we received them because they all broke super easily and the colors weren<U+2019>t very bright. Also- they<U+2019>re a lot harder to clean off than others we have had"
"93","5","My nephew loves to use these in the bath tub."
"94","5","My niece absolutely loved these! Got them as a gift and she didnt wanna come outta the tub! she was able to draw a lot with them and we always loved her projects. makes ya wanna get them for yourself as an adult since its easy to wash away! haha"
"95","1","I could't wait to get these for my son. Was disappointed when it was just the tip of the crayon that you get, not the whole crayon."
"96","5","Great to use, my 3 year old and 1 year old can both use them!"
"97","3","These color ok but don<U+2019>t last long"
"98","5","These are less messy than bathtub paints, and the retractable color sticks make it easy to put them away without making a mess. You do need to teach your children not to leave them floating in the bathtub, or they will dissolve over time and come off the base.If you leave the kids too long in the tub with these there WILL be a bathtub ring. Wipe it off ASAP, it only gets harder if you let it dry."
"99","4","Decent enough. The crayon part easily falls out, which is annoying, but the wax is easily wiped off (at least from my tub). Probably won<U+2019>t buy again, but I<U+2019>d say we got our money<U+2019>s worth."
"100","1","The crayons fall out!!! Cheap..."
"101","1","These wouldn<U+2019>t push up out of the crayon like they are supposed to do we had to throw away all but one pretty quickly. Only one would push up out of the holder. What a waste!!"
"102","1","They get 1 stars because at least they entertained my daughter. I however could not have been more disappointed in the quality. These are onetime use if at all, basically falling apart out of the package."
"103","4","These are super fun! My boys loved them!! I loved how easily it wiped off in the shower and how easy it was to use them."
"104","1","Crayons start to melt pretty quick in the water and then slide out of the plastic holder which then, my child places into her mouth.  But she was only one, almost two and I monitor bath time 100%.  So maybe better for older kids."
"105","3","These crayons  fall apart super easy work nice in the bathtub"
"106","3","A little disappointed with these. The colors are bright and my son still uses them, but they do dry out between bath times and crumble. Would not recommend."
"107","1","To waxy does not work"
"108","2","These don't hold up well. Very hard to push up to get more to draw with. Even with a screwdriver I had problems. Just turn to mush."
"109","1","They didn't color like they should have.  They leaked (I guess this might be the best word to use) or dyed the water.  And right out of the package they were falling out of the holder.  Would NOT recommend."
"110","1","I went for a cheaper option for bath crayons - and threw these away the second day we had them.  Compared to the brand name bath crayons we bought in the past, these don't write well (at all) and broke on first use.  Not worth the money, even if they are cheap."
"111","5","I can't get my son out of the tub when we pull these things out! They wash off really easy too if you are concerned with that."
"112","2","I found they didn<U+2019>t write very well on the tub"
"113","5","Best art supplies for the bathroom by far and come off easily."
"114","3","Daughter loved this product but it has stained our grout in the bathroom a little. Not sure what cleaning product will get it out completely  - what I have tried hasn<U+2019>t worked yet."
"115","4","They wash off super easy but they do stain if you dont get it off next to right away."
"116","3","Color well and easy to clean but the crayons push down in the plastic shell when being used and need to be pushed back up. If submerged in water they melt and become mushy very fast."
"117","5","These are great, not sure why there are some negative reviews. Of course they bleed when wet....they are crayons! However, it comes right off of the tub and bath toys when my son draws on them. I could let him walk around all day and draw on everything and clean it up within minutes."
"118","4","Gift"
"119","3","I can't speak about the actual use of these crayons since they were a gift but I know that they were very well received.  My only gripe (if you can call it that) is that these seem awfully overpriced for what you get.  The packaging does not look impressive at all.  Again, this doesn't matter to 99% of the people reading this (who are planning on buying these for their own kids) ... but it might help those considering giving this as a gift :)"
"120","2","Other brands are better. These are very waxy and hard to use"
"121","5","Arrived on time and as described"
"122","1","Crayons don't wipe down well and if they are stored with even as little water they get gross."
"123","3","Stains kids hands"
"124","1","I would not buy these again. They crumbled in the water and lasted maybe 3 baths. Also they come in these plastic containers that aren't designed well."
"125","2","Stain and difficult to remove rven right after has been used. Crayola's are much better quality and have better performance"
"126","1","She didn't care for them, didn't work very well. Would drop whatever color every where .... I don't think it's worth it ."
"127","1","Don't waste your money. Crayons fall out of the plastic holders and don't write well on the bathtub. My son used one for 5 seconds and wouldn't touch them again. You're better to make shaving cream paints! Much more fun."
"128","5","Thank you"
"129","4","These are cool. They feel a little wasteful with all the plastic involved. They kinda get used up very quickly."
"130","1","Stained mine and my daughters hands. Melted in contact with water creating a huge mess."
"131","5","For the kids. You know how that goes.  Give them anything that makes a mess or makes lots of noise."
"132","1","Stained my tube, had to scrub to get all the colors off."
"133","1","My toddler broke them as soon as they came out of the package. The colors hardly show up if you try them on the side of the tub. Don<U+2019>t waste your money."
"134","1","It took a lot of elbow grease to get my tub clean after each use."
"135","5","My kids liked these but my oldest saidThey didn't work well once they got water on then"
"136","1","Just fall apart in the water after a few uses."
"137","3","The artwork that is found on the tub with these crayons is actually very difficult to scrub off. They do stain if you leave it on there long. You have to use a strong cleaner to remove it, and a lot of elbow grease."
"138","2","they dissolve in the water"
"139","3","My 4 year old loves these but I assumed I could just wipe the color off the tub, but I found that I really need to scrub."
"140","4","Will be a problem when they run out. Will not take bathes W/O them, now."
"141","1","The crayons came out of their holders immediately. Very cheaply made"
"142","2","the soap crayon does not stay in the holders they are too small and constantly fall out into the bath water"
"143","1","not worth the money did not work at all"
"144","1","DONT BUY!! THEY STAINED MY SHOWER!! The marks won't come off! Stay away!!"
"145","1","My son used these in the tub and they disintegrated in one tub use and now they won<U+2019>t wash off the tub"
"146","5","These work really well to draw in bathtub, wash off easily. Easy entertainment for toddlers and pre-schoolers."
"147","5","Perfect! Thank you!"
"148","1","These fell apart as soon as I gave them to my toddler in the bath the crayon came out and wouldn<U+2019>t stay in holder. Ended up in garbage after one crayon ended up down the drain!"
"149","5","As expected"
"150","1","Did not work and refused to refund. Don<U+2019>t waste your money!"
"151","1","They worked great the first couple of times and then dried and crumbled. I was very disappointed."
"152","1","These make a mess, fall apart easily. Great concept, poor execution"
"153","5","Fun in the tub.  Good price, lasted as long as I would expect."
"154","1","My kids loved these! I did not. Be prepared to scrub your tub forever to get the colors off."
"155","1","Colors do not stay put in the holders."
"156","1","Falls apart easily, doesn't do well in water"
"157","2","These ran everywhere and got pretty gross after about a week."
"158","4","My kids love these but if you turn them upside down the crayon falls right out"
"159","4","Fun for the kids, but the ""crayons"" break pretty easily."
"160","5","Excellent Product, 100% recommended."
"161","2","Did not write well on tub or wall"
"162","3","these are not that great. They melt in water (like in any water, including if your hand is damp), but do not hold up to much pressure when coloring."
"163","1","These Don<U+2019>t actually draw, they just dye the water and clump on the walls of the bath. Literally trash. Avoid at all costs."
"164","5","Last a long time and washes off easily!"
"165","3","Once you use the tip, it's hard to get more of the color, something is stuck there"
"166","1","These bath crayons suck. They crumble when you try to use them and fall out of their plastic containers right away."
"167","1","These do not work. Barely run off on the tub and when they do, it's in little specks.  Really terrible."
"168","1","Mine came completely opened and unpackaged ina box. In addition, I am short one crayon. Very disappointed."
"169","1","THEY DONT RIGHT ON TUB IF ITS WET<U+2026>.."
"170","5","My son loves these"
"171","5","She enjoyed them a lot! However I would like refills if possible because the crayons go fast."
"172","5","granddaughter loves this"
"173","1","Absolutely horrible. We usually use the crayola tub crayons and have had no issues with their ability to be cleaned off the surface of our tub with out staining.  We purchased these because the crayola crayons were a little more expensive and we thought we would give them a try.1.) They don't show up nearly as vibrantly as the Crayola bath tub crayons.2.) They crumble apart even when wet.3.) They stain the shower walls. Which i suppose is fine if you want to forever preserve your toddlers masterpiece...  and never move.DO NOT BUY THESE!"
"174","1","Super disappointed with this product. Crayons have been used twice and they are all crumbled and even I can't move them up to allow more of the crayon to be exposed. There is no way a child could do it."
"175","1","Didn't stay in holders and just kinda melted right away"
"176","5","18 month old grandson loves these!"
"177","1","These are not child friendly. My two year old was able to pull the crayon out of plastic case in a minute"
"178","3","Color is pretty light when you draw and they are super messy, leaving streaks of color all over my tub. They clean up easily but I think I bought a different brand last time and they were much better :/"
"179","1","The crayons didn't stay in their holders well at all, and they were just a mess. We ended up throwing them away after two uses."
"180","2","They're ok. When they get wet they kind of fall apart. Not worth the price."
"181","5","kids love it, washes off well.... wold recommend"
"182","5","my daughter loves!"
"183","1","These are terrible! Crayon doesn<U+2019>t stay in outer cartridge... didn<U+2019>t even last 1 bath!"
"184","1","These crayons did not even last one bath. The crayons fell out of the casing and started melting. They also do not write on the bathtub. Very disappointed in these."
"185","4","I got these for my granddaughter.  She loves them"
"186","1","These are the worst! They're bath crayons that only work when dry, and all the color washes out of them if you leave them in the bath water for more than a couple of minutes. I've never written a review of anything before, but I feel like people need to know that these crayons are awful."
"187","2","Did not work ber well"
"188","5","These are awesome. My daughter loves them, and they clean up easily- even after leaving them for several hours :) the colors are bold and stay on tub walls well until splashed."
"189","2","Once water gets in it the crayons expand and are useless."
"190","5","Love these"
"191","3","The button was hard to elevate to bring the crayon to the top. I couldn<U+2019>t even do it for a few. Won<U+2019>t purchase this brand again."
"192","4","Lotsa fun in the tub!"
"193","5","Pain to clean off bathtub sometimes, but absolute fave for my toddler. Need to buy more."
"194","2","I really liked the idea of these, but all the crayons fell out within minutes of taking them out of the package. The color bleeds out quickly as well. I expected crayons for the bath to last longer than 2 uses."
"195","1","These lose all their color after a couple uses...and if there is any water left on or around them, they bleed all over and end up just white wax sticks."
"196","1","These worked okay at first, but the crayons are encased in a plastic tube and it is nearly impossible to roll the crayon up once the exposed tips are gone. Highly frustrating. Cheap piece of crap."
"197","4","Lol if you have hard water don't use this in your tub.. it doesn't come off :)"
"198","2","These crayons are very difficult to get off of the tub. If you have a porcelain tub, stick with paints instead of crayons."
"199","4","Good for 2 yr old"
"200","5","Our daughter adores these bath crayons, and they stay in the holders a little better than some of the other brands we've tried. Plus it has purple, which is awesome. I love anything that fosters her creativity, so this definitely fits the bill."
"201","3","The crayons don't stay in the plastic holders"
"202","5","The crayons are great and the shipping time was great."
"203","1","crayons break and don<U+2019>t write clearly... fade away easily."
"204","1","Terrible . They dont even write on the walls"
"205","4","Break and crumble very easily but my kid still loves them. Cleans off easily."
"206","1","They didn't last at all. They came out of the plastic holder n melted in water"
"207","3","The crayon falls out"
"208","2","These dissolve when the toddler drops them in the water."
"209","1","I didn't read any reviews of these - I just wanted to get some tub crayons for my 2-year-old and I think these were the cheapest ones that were prime eligible.  I'm not sure what the purpose of the holder is - they should've just made the crayons a little fatter and they'd work great.  The crayons themselves are super skinny and only last a couple of baths.  I definitely don't recommend them."
"210","1","Terrible quality! I just received them and they 1. Fall apart and 2. Barely write. Do not buy!"
"211","4","My kids love these"
"212","1","Awful quality. Would not even write in tub and then turned the water all different colors which combined was brown and freaked out my 2 year old."
"213","2","I have a 2 year old and she loves to color so I bought these. They work fine except they do fall out of the holders and they are hard to clean off the tile unless you scrub. The darker colors stain her skin so once she is done playing we have to wash all over. I would never buy these again."
